hash_name,name
1838dc0a0424b4141e016b54a05ab510,decision_tree_classifier--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_None--max_leaf_nodes_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--random_state_0--splitter_best
3da436fb79663e783b201339e598a8bd,decision_tree_regressor--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_None--max_leaf_nodes_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--random_state_0--splitter_best
9aa62611c0dfc82421f5533ca52f93c2,random_forest_classifier--bootstrap_True--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
e057e9b1b095608f4f5f217a2de20ae7,random_forest_classifier--bootstrap_False--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
6015bfef47db7df178db0f143fb46ddc,random_forest_classifier--bootstrap_True--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
51a3e381a23bae3e3e112812c3fabb12,random_forest_classifier--bootstrap_False--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
2231fc14696e20242ed1b2342db03440,random_forest_regressor--bootstrap_True--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
3cf907b3e36429e84a4466e51c8d1574,random_forest_regressor--bootstrap_False--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
8496ed80717b2af113fdd6b5ba7c51ef,random_forest_regressor--bootstrap_True--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
e93760dc4bba77c6fbe09b85b4333653,random_forest_regressor--bootstrap_False--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False
57bd0e323bc8275dbf66bb870d5dd1fe,linear_regression--copy_X_True--fit_intercept_True--n_jobs_None--positive_False
